first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,next_player,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,first_player_final_score,second_player_final_score,final_score_difference,outcome
178,270,-92,14.833333333333334,24.545454545454547,-92,542,605,-63,0,0,0.0,0.0,first_player,22,12,11,1.6363636363636365,0,0,10,10,false,244,353,-109,false
178,279,-101,14.833333333333334,23.25,-101,542,605,-63,0,0,0.0,0.0,second_player,18,12,12,2.0,0,0,10,9,false,244,353,-109,false
186,279,-93,14.307692307692308,23.25,-93,542,605,-63,0,0,0.0,0.0,first_player,15,13,12,2.4,0,0,8,9,false,244,353,-109,false
186,288,-102,14.307692307692308,22.153846153846153,-102,542,605,-63,0,0,0.0,0.0,second_player,11,13,13,3.272727272727273,0,0,8,9,false,244,353,-109,false
190,288,-98,13.571428571428571,22.153846153846153,-98,542,605,-63,0,0,0.0,0.0,first_player,8,14,13,4.5,0,0,8,9,false,244,353,-109,false
190,301,-111,13.571428571428571,21.5,-111,542,605,-63,0,0,0.0,0.0,second_player,5,14,14,7.2,0,0,8,10,false,244,353,-109,false
198,301,-103,13.2,21.5,-103,542,605,-63,0,0,0.0,0.0,first_player,2,15,14,18.0,0,0,8,10,false,244,353,-109,false
198,328,-130,13.2,21.866666666666667,-130,542,605,-63,0,0,0.0,0.0,second_player,-2,15,15,-18.0,0,0,8,10,false,244,353,-109,false
206,328,-122,12.875,21.866666666666667,-122,542,605,-63,0,0,0.0,0.0,first_player,-4,16,15,-9.0,0,0,8,10,false,244,353,-109,false
206,339,-133,12.875,21.1875,-133,542,605,-63,0,0,0.0,0.0,second_player,-7,16,16,-5.142857142857143,0,0,8,11,false,244,353,-109,false
220,339,-119,12.941176470588236,21.1875,-119,542,605,-63,0,0,0.0,0.0,first_player,-11,17,16,-3.272727272727273,0,0,5,11,false,244,353,-109,false
220,353,-133,12.941176470588236,20.764705882352942,-133,542,605,-63,0,0,0.0,0.0,second_player,-14,17,17,-2.5714285714285716,0,0,5,5,false,244,353,-109,false
234,353,-119,13.0,20.764705882352942,-119,542,605,-63,0,0,0.0,0.0,first_player,-18,18,17,-2.0,0,0,5,5,false,244,353,-109,false
234,353,-119,13.0,19.61111111111111,-119,542,605,-63,0,0,0.0,0.0,second_player,-18,18,18,-2.0,0,0,5,5,true,244,353,-109,false
18,0,18,18.0,0,18,1033,1037,-4,0,0,0.0,0,first_player,94,1,0,0.4787234042553192,0,0,7,0,false,404,232,172,true
18,4,14,18.0,4.0,14,1033,1037,-4,0,0,0.0,0.0,second_player,91,1,1,0.4945054945054945,0,0,7,7,false,404,232,172,true
28,4,24,14.0,4.0,24,1033,1037,-4,0,0,0.0,0.0,first_player,87,2,1,0.5172413793103449,0,0,10,7,false,404,232,172,true
28,4,24,14.0,2.0,24,1033,1037,-4,0,0,0.0,0.0,second_player,87,2,2,0.5172413793103449,0,0,10,7,false,404,232,172,true
42,4,38,14.0,2.0,38,1033,1037,-4,0,0,0.0,0.0,first_player,81,3,2,0.5555555555555556,0,0,19,7,false,404,232,172,true
42,14,28,14.0,4.666666666666667,28,1033,1037,-4,0,0,0.0,0.0,second_player,79,3,3,0.569620253164557,0,0,19,7,false,404,232,172,true
90,14,76,22.5,4.666666666666667,76,1033,1037,-4,0,0,0.0,0.0,first_player,76,4,3,0.5921052631578947,0,0,13,7,false,404,232,172,true
90,18,72,22.5,4.5,72,1033,1037,-4,0,0,0.0,0.0,second_player,74,4,4,0.6081081081081081,0,0,13,8,false,404,232,172,true
117,18,99,23.4,4.5,99,1033,1037,-4,0,0,0.0,0.0,first_player,71,5,4,0.6338028169014085,0,0,13,8,false,404,232,172,true
117,21,96,23.4,4.2,96,1033,1037,-4,0,0,0.0,0.0,second_player,69,5,5,0.6521739130434783,0,0,13,8,false,404,232,172,true
142,21,121,23.666666666666668,4.2,121,1033,1037,-4,0,0,0.0,0.0,first_player,66,6,5,0.6818181818181818,0,0,11,8,false,404,232,172,true
142,21,121,23.666666666666668,3.5,121,1033,1037,-4,0,0,0.0,0.0,second_player,66,6,6,0.6818181818181818,0,0,11,8,false,404,232,172,true
151,21,130,21.571428571428573,3.5,130,1033,1037,-4,0,0,0.0,0.0,first_player,62,7,6,0.7258064516129032,0,0,11,8,false,404,232,172,true
151,92,59,21.571428571428573,13.142857142857142,59,1033,1037,-4,0,1,0.0,0.14285714285714285,second_player,55,7,7,0.8181818181818182,0,0,11,12,false,404,232,172,true
169,92,77,21.125,13.142857142857142,77,1033,1037,-4,0,1,0.0,0.14285714285714285,first_player,51,8,7,0.8823529411764706,0,0,20,12,false,404,232,172,true
169,107,62,21.125,13.375,62,1033,1037,-4,0,1,0.0,0.125,second_player,47,8,8,0.9574468085106383,0,0,20,12,false,404,232,172,true
183,107,76,20.333333333333332,13.375,76,1033,1037,-4,0,1,0.0,0.125,first_player,43,9,8,1.0465116279069768,0,0,26,12,false,404,232,172,true
183,123,60,20.333333333333332,13.666666666666666,60,1033,1037,-4,0,1,0.0,0.1111111111111111,second_player,40,9,9,1.125,0,0,26,10,false,404,232,172,true
220,123,97,22.0,13.666666666666666,97,1033,1037,-4,0,1,0.0,0.1111111111111111,first_player,37,10,9,1.2162162162162162,0,0,26,10,false,404,232,172,true
220,139,81,22.0,13.9,81,1033,1037,-4,0,1,0.0,0.1,second_player,35,10,10,1.2857142857142858,0,0,26,10,false,404,232,172,true
244,139,105,22.181818181818183,13.9,105,1033,1037,-4,0,1,0.0,0.1,first_player,32,11,10,1.40625,0,0,22,10,false,404,232,172,true
244,149,95,22.181818181818183,13.545454545454545,95,1033,1037,-4,0,1,0.0,0.09090909090909091,second_player,29,11,11,1.5517241379310345,0,0,22,9,false,404,232,172,true
275,149,126,22.916666666666668,13.545454545454545,126,1033,1037,-4,0,1,0.0,0.09090909090909091,first_player,25,12,11,1.8,0,0,18,9,false,404,232,172,true
275,160,115,22.916666666666668,13.333333333333334,115,1033,1037,-4,0,1,0.0,0.08333333333333333,second_player,22,12,12,2.0454545454545454,0,0,18,9,false,404,232,172,true
310,160,150,23.846153846153847,13.333333333333334,150,1033,1037,-4,0,1,0.0,0.08333333333333333,first_player,18,13,12,2.5,0,0,18,9,false,404,232,172,true
310,162,148,23.846153846153847,12.461538461538462,148,1033,1037,-4,0,1,0.0,0.07692307692307693,second_player,16,13,13,2.8125,0,0,18,9,false,404,232,172,true
325,162,163,23.214285714285715,12.461538461538462,163,1033,1037,-4,0,1,0.0,0.07692307692307693,first_player,14,14,13,3.2142857142857144,0,0,23,9,false,404,232,172,true
325,189,136,23.214285714285715,13.5,136,1033,1037,-4,0,1,0.0,0.07142857142857142,second_player,8,14,14,5.625,0,1,23,9,false,404,232,172,true
356,189,167,23.733333333333334,13.5,167,1033,1037,-4,0,1,0.0,0.07142857142857142,first_player,5,15,14,9.0,0,1,14,9,false,404,232,172,true
356,191,165,23.733333333333334,12.733333333333333,165,1033,1037,-4,0,1,0.0,0.06666666666666667,second_player,3,15,15,15.0,0,1,14,12,false,404,232,172,true
361,191,170,22.5625,12.733333333333333,170,1033,1037,-4,0,1,0.0,0.06666666666666667,first_player,1,16,15,45.0,0,1,18,12,false,404,232,172,true
361,209,152,22.5625,13.0625,152,1033,1037,-4,0,1,0.0,0.0625,second_player,-2,16,16,-22.5,0,1,18,14,false,404,232,172,true
365,209,156,21.470588235294116,13.0625,156,1033,1037,-4,0,1,0.0,0.0625,first_player,-5,17,16,-9.0,1,1,17,14,false,404,232,172,true
365,217,148,21.470588235294116,12.764705882352942,148,1033,1037,-4,0,1,0.0,0.058823529411764705,second_player,-8,17,17,-5.625,1,1,17,9,false,404,232,172,true
371,217,154,20.61111111111111,12.764705882352942,154,1033,1037,-4,0,1,0.0,0.058823529411764705,first_player,-10,18,17,-4.5,1,1,12,9,false,404,232,172,true
371,222,149,20.61111111111111,12.333333333333334,149,1033,1037,-4,0,1,0.0,0.05555555555555555,second_player,-12,18,18,-3.75,1,1,12,5,false,404,232,172,true
404,222,182,21.263157894736842,12.333333333333334,182,1033,1037,-4,0,1,0.0,0.05555555555555555,first_player,-18,19,18,-2.5,0,1,2,5,false,404,232,172,true
404,226,178,21.263157894736842,11.894736842105264,178,1033,1037,-4,0,1,0.0,0.05263157894736842,second_player,-20,19,19,-2.25,0,1,2,2,false,404,232,172,true
404,226,178,20.2,11.894736842105264,178,1033,1037,-4,0,1,0.0,0.05263157894736842,first_player,-20,20,19,-2.25,0,1,2,2,false,404,232,172,true
404,226,178,20.2,11.3,178,1033,1037,-4,0,1,0.0,0.05,second_player,-20,20,20,-2.25,0,1,2,2,false,404,232,172,true
404,226,178,19.238095238095237,11.3,178,1033,1037,-4,0,1,0.0,0.05,first_player,-20,21,20,-2.25,0,1,2,2,false,404,232,172,true
404,233,171,19.238095238095237,11.095238095238095,171,1033,1037,-4,0,1,0.0,0.047619047619047616,second_player,-25,21,21,-1.8,0,1,2,1,false,404,232,172,true
404,233,171,18.363636363636363,11.095238095238095,171,1033,1037,-4,0,1,0.0,0.047619047619047616,first_player,-25,22,21,-1.8,0,1,2,1,false,404,232,172,true
404,238,166,18.363636363636363,10.818181818181818,166,1033,1037,-4,0,1,0.0,0.045454545454545456,second_player,-27,22,22,-1.6666666666666667,0,1,2,1,false,404,232,172,true
404,238,166,17.565217391304348,10.818181818181818,166,1033,1037,-4,0,1,0.0,0.045454545454545456,first_player,-27,23,22,-1.6666666666666667,0,1,2,1,true,404,232,172,true
10,0,10,10.0,0,10,226,361,-135,0,0,0.0,0,first_player,96,1,0,0.4583333333333333,0,0,14,0,false,258,296,-38,false
10,27,-17,10.0,27.0,-17,226,361,-135,0,0,0.0,0.0,second_player,93,1,1,0.4731182795698925,0,1,14,6,false,258,296,-38,false
23,27,-4,11.5,27.0,-4,226,361,-135,0,0,0.0,0.0,first_player,89,2,1,0.4943820224719101,0,1,11,6,false,258,296,-38,false
23,31,-8,11.5,15.5,-8,226,361,-135,0,0,0.0,0.0,second_player,85,2,2,0.5176470588235295,0,1,11,6,false,258,296,-38,false
35,31,4,11.666666666666666,15.5,4,226,361,-135,0,0,0.0,0.0,first_player,81,3,2,0.5432098765432098,0,1,20,6,false,258,296,-38,false
35,37,-2,11.666666666666666,12.333333333333334,-2,226,361,-135,0,0,0.0,0.0,second_player,77,3,3,0.5714285714285714,0,1,20,10,false,258,296,-38,false
45,37,8,11.25,12.333333333333334,8,226,361,-135,0,0,0.0,0.0,first_player,73,4,3,0.6027397260273972,0,1,22,10,false,258,296,-38,false
45,50,-5,11.25,12.5,-5,226,361,-135,0,0,0.0,0.0,second_player,70,4,4,0.6285714285714286,0,1,22,8,false,258,296,-38,false
